                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.32915,                0.22885,                0.82967,                0.98659,                0.95562,                0.98597,                0.85545,                0.62362,                0.33212,                0.99463,             0.00032278,             0.00032278,             0.00032278
                     64,                 0.3326,                0.22936,                0.83714,                0.98068,                0.95911,                0.98716,                0.85874,                0.62391,                0.33413,                0.99545,             0.00030841,             0.00030841,             0.00030841
                     65,                0.32884,                0.22445,                0.83282,                0.98602,                0.96068,                0.98851,                0.86381,                0.61924,                0.31522,                 0.9939,             0.00029424,             0.00029424,             0.00029424
                     66,                0.32332,                0.21965,                0.83396,                0.98424,                0.96309,                0.98722,                0.86148,                0.62458,                0.33627,                0.99306,             0.00028027,             0.00028027,             0.00028027
                     67,                0.32691,                0.22258,                0.83315,                0.98022,                0.96265,                0.98932,                0.86489,                0.61648,                0.32357,                0.98798,             0.00026653,             0.00026653,             0.00026653
                     68,                0.30912,                 0.2109,                0.82411,                0.98815,                0.95738,                0.98703,                0.85897,                 0.6228,                0.32338,                0.99044,             0.00025302,             0.00025302,             0.00025302
                     69,                0.31849,                0.21622,                0.82644,                0.98703,                0.96265,                0.98765,                0.86431,                0.62037,                0.32429,                0.99012,             0.00023977,             0.00023977,             0.00023977
                     70,                0.31512,                 0.2114,                0.82204,                0.97989,                0.96328,                0.98756,                0.86169,                0.62358,                0.32235,                 0.9944,             0.00022677,             0.00022677,             0.00022677
                     71,                0.31071,                0.21196,                0.82578,                0.98561,                0.96278,                0.98838,                0.86149,                0.61874,                0.31114,                0.99597,             0.00021405,             0.00021405,             0.00021405
                     72,                0.31107,                0.21261,                 0.8265,                0.98816,                0.95369,                 0.9878,                0.86217,                0.62038,                 0.3284,                0.99636,             0.00020161,             0.00020161,             0.00020161
                     73,                0.30674,                0.20567,                0.81828,                0.98377,                0.95886,                0.98696,                0.86165,                0.62214,                0.32507,                0.99185,             0.00018948,             0.00018948,             0.00018948
                     74,                 0.3044,                0.20943,                0.82489,                0.98518,                0.96378,                0.98839,                0.86507,                0.62119,                0.31489,                0.99503,             0.00017765,             0.00017765,             0.00017765
                     75,                0.29679,                0.20194,                 0.8185,                0.99093,                0.95967,                0.98654,                0.86467,                 0.6209,                 0.3166,                0.99564,             0.00016615,             0.00016615,             0.00016615
                     76,                0.30163,                0.20119,                0.81931,                0.99052,                0.96377,                0.98921,                0.86467,                0.62135,                0.31208,                0.99375,             0.00015498,             0.00015498,             0.00015498
                     77,                0.29963,                0.20609,                0.82474,                0.98875,                0.95958,                0.98778,                 0.8656,                0.61968,                0.31616,                0.99203,             0.00014416,             0.00014416,             0.00014416
                     78,                0.29439,                0.19974,                0.82035,                0.99048,                 0.9601,                0.98723,                0.86555,                0.61975,                0.31794,                0.99111,              0.0001337,              0.0001337,              0.0001337
                     79,                0.29935,                0.20171,                0.82116,                 0.9821,                0.96408,                0.98756,                 0.8661,                0.62014,                0.32101,                0.99286,              0.0001236,              0.0001236,              0.0001236
                     80,                0.29644,                0.19813,                0.83051,                0.99093,                0.96007,                0.98645,                 0.8646,                0.61549,                0.32225,                0.98959,             0.00011387,             0.00011387,             0.00011387
                     81,                0.29319,                0.19577,                0.82646,                0.99109,                 0.9609,                0.98733,                0.86538,                0.61689,                0.31917,                0.99179,             0.00010454,             0.00010454,             0.00010454
                     82,                0.29027,                0.19959,                0.82225,                 0.9923,                0.96206,                0.98766,                0.86664,                0.61612,                0.31393,                0.99428,             9.5595e-05,             9.5595e-05,             9.5595e-05
