                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.38461,                0.21109,                      0,                0.27561,                 0.8504,                0.98458,                0.93761,                0.97358,                0.81911,                0.97239,                0.92663,                0.95758,                0.88895,                0.67431,                0.38233,                      0,                0.39558,                 1.0146,             0.00059775,             0.00059775,             0.00059775
                     46,                0.37528,                 0.1743,                      0,                0.27264,                0.84369,                 0.9772,                0.93893,                0.97896,                0.82862,                0.97046,                0.93234,                0.96662,                0.89174,                0.65779,                0.38746,                      0,                0.38005,                 0.9993,             0.00058244,             0.00058244,             0.00058244
                     47,                0.38264,                 0.1699,                      0,                0.27406,                0.85066,                0.98485,                  0.942,                0.97735,                0.82581,                0.97632,                0.93673,                0.96674,                0.89673,                0.65875,                0.36166,                      0,                0.37998,                 1.0075,             0.00056704,             0.00056704,             0.00056704
                     48,                0.38136,                0.18471,                      0,                0.27062,                 0.8423,                0.97886,                0.93591,                0.97634,                0.82758,                0.97195,                0.92872,                0.96495,                0.89803,                0.66628,                0.36742,                      0,                0.39663,                 1.0142,             0.00055158,             0.00055158,             0.00055158
                     49,                0.37657,                0.15903,                      0,                 0.2645,                0.84568,                 0.9785,                0.93994,                0.97646,                0.83754,                0.96909,                0.93058,                0.96306,                0.90202,                0.65622,                0.35915,                      0,                0.40926,                0.99734,             0.00053608,             0.00053608,             0.00053608
                     50,                0.36708,                0.16728,                      0,                0.26136,                0.84078,                0.98657,                0.93579,                0.97463,                0.83603,                 0.9782,                0.92664,                0.96313,                  0.902,                0.66379,                0.35974,                      0,                0.39743,                 1.0094,             0.00052055,             0.00052055,             0.00052055
                     51,                0.37128,                0.18257,                      0,                0.25785,                0.84767,                0.96984,                 0.9465,                0.97277,                0.82123,                0.96368,                0.94112,                0.96461,                0.89182,                0.66575,                0.37086,                      0,                0.38305,                 1.0096,               0.000505,               0.000505,               0.000505
                     52,                0.36083,                 0.1645,                      0,                0.25457,                0.84603,                0.97585,                0.94113,                0.97799,                0.82999,                0.96628,                0.93629,                0.96717,                 0.9007,                0.65748,                0.35303,                      0,                0.37666,                 0.9995,             0.00048945,             0.00048945,             0.00048945
                     53,                0.36611,                0.13283,                      0,                0.26293,                0.84625,                0.97319,                0.94115,                0.97528,                0.83163,                0.96819,                0.93497,                0.96432,                0.90185,                0.66752,                 0.3326,                      0,                0.39267,                 1.0083,             0.00047392,             0.00047392,             0.00047392
                     54,                0.35454,                0.16306,                      0,                0.25114,                0.83623,                  0.974,                0.93836,                0.97269,                0.82924,                0.96716,                0.93177,                0.96276,                0.89587,                0.66168,                0.34864,                      0,                 0.3935,                 1.0056,             0.00045842,             0.00045842,             0.00045842
                     55,                0.36414,                0.20238,                      0,                0.26101,                0.84137,                0.97162,                0.94156,                0.97531,                0.83274,                0.96313,                0.93409,                0.96394,                 0.8993,                0.66145,                0.35342,                      0,                0.39034,                 1.0019,             0.00044296,             0.00044296,             0.00044296
                     56,                0.35453,                0.16027,                      0,                0.25663,                0.84511,                0.97558,                0.94779,                0.97869,                0.83601,                0.97057,                 0.9418,                0.96944,                0.90308,                0.65536,                0.34266,                      0,                0.38537,                0.99867,             0.00042756,             0.00042756,             0.00042756
                     57,                0.35049,                0.14226,                      0,                0.24791,                  0.838,                0.97759,                0.94288,                0.97835,                0.83573,                0.97132,                0.93629,                0.96816,                0.90776,                0.65524,                0.34308,                      0,                 0.3837,                 1.0042,             0.00041225,             0.00041225,             0.00041225
                     58,                0.35033,                0.16498,                      0,                0.24872,                0.83459,                0.97846,                0.93819,                0.97556,                0.83424,                 0.9651,                0.92882,                0.95824,                0.89173,                0.66149,                0.35617,                      0,                0.39426,                0.99878,             0.00039702,             0.00039702,             0.00039702
                     59,                0.34602,                0.15206,                      0,                0.24267,                0.83279,                0.97678,                0.94261,                0.97701,                0.83304,                0.97086,                0.93686,                0.96796,                0.90394,                0.65735,                0.33754,                      0,                0.37766,                0.99433,              0.0003819,              0.0003819,              0.0003819
                     60,                0.33522,                0.16217,                      0,                0.23667,                0.82567,                0.97701,                0.95231,                0.98177,                0.84222,                0.97329,                0.94772,                0.97637,                0.90582,                0.65004,                0.33661,                      0,                0.35773,                0.99274,              0.0003669,              0.0003669,              0.0003669
                     61,                 0.3369,                0.15819,                      0,                0.23944,                0.83077,                0.98598,                0.94156,                  0.977,                0.84314,                0.97884,                0.93508,                0.96745,                 0.9054,                0.65378,                0.33807,                      0,                0.37229,                0.99685,             0.00035204,             0.00035204,             0.00035204
                     62,                0.34186,                0.15612,                      0,                0.23668,                0.83632,                0.97597,                0.94561,                 0.9759,                0.83367,                0.96834,                0.93937,                0.96495,                0.89681,                0.65646,                0.35559,                      0,                0.38177,                 1.0003,             0.00033732,             0.00033732,             0.00033732
                     63,                 0.3263,                0.14442,                      0,                 0.2346,                0.82937,                0.97725,                0.94381,                0.97426,                0.83472,                0.96952,                0.93637,                0.96235,                0.89966,                0.64922,                0.34401,                      0,                0.37552,                0.99355,             0.00032278,             0.00032278,             0.00032278
                     64,                0.33354,                0.13728,                      0,                0.23618,                0.83563,                0.97508,                0.94566,                0.97628,                0.83837,                0.96874,                0.93951,                0.96606,                0.89859,                0.64783,                0.34766,                      0,                 0.3682,                0.98992,             0.00030841,             0.00030841,             0.00030841
                     65,                0.32736,                0.14698,                      0,                0.22997,                 0.8303,                0.97729,                0.95431,                0.97821,                0.83946,                0.96878,                 0.9464,                0.96578,                0.89806,                0.64725,                0.36149,                      0,                0.35851,                 0.9905,             0.00029424,             0.00029424,             0.00029424
                     66,                0.32477,                0.15804,                      0,                0.22832,                0.83182,                0.97722,                 0.9442,                0.97699,                0.83844,                0.97131,                0.93849,                0.96861,                0.90377,                0.64149,                0.34863,                      0,                0.35977,                0.98769,             0.00028027,             0.00028027,             0.00028027
                     67,                0.33059,                0.14959,                      0,                0.23419,                0.83375,                0.97877,                0.95255,                0.98058,                0.84316,                 0.9708,                 0.9494,                0.97037,                0.90098,                0.64124,                0.34523,                      0,                0.35033,                 0.9898,             0.00026653,             0.00026653,             0.00026653
                     68,                0.31672,                0.12712,                      0,                0.22187,                0.82422,                0.97351,                 0.9528,                0.97936,                0.84367,                0.96516,                0.94596,                0.96806,                0.90452,                 0.6423,                0.34382,                      0,                0.35962,                0.98992,             0.00025302,             0.00025302,             0.00025302
                     69,                0.32354,                 0.1296,                      0,                0.22594,                0.82759,                0.97754,                0.95079,                0.97968,                0.84844,                0.97071,                0.94657,                 0.9704,                0.90709,                0.64364,                0.34007,                      0,                0.36044,                0.99363,             0.00023977,             0.00023977,             0.00023977
