                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.42532,                0.08959,                0.02819,                0.30388,                 0.8706,                0.94561,                0.80089,                0.88967,                0.70495,                0.93025,                0.78971,                0.86697,                0.80066,                0.91227,                0.50234,                0.01958,                0.81743,                 1.1677,             0.00093107,             0.00093107,             0.00093107
                     37,                0.42508,                0.12162,                0.03312,                0.29759,                0.87099,                0.95805,                0.84067,                 0.9029,                0.71933,                0.92081,                0.81219,                0.84396,                0.76903,                0.83971,                0.57771,                0.01028,                0.60384,                 1.1132,             0.00092706,             0.00092706,             0.00092706
                     38,                0.42194,                 0.1058,                0.03157,                0.29305,                0.86294,                0.96025,                0.83466,                0.89958,                0.71966,                0.93508,                0.81279,                 0.8581,                0.78436,                 0.8382,                0.55462,                0.00868,                0.64686,                 1.1167,             0.00092294,             0.00092294,             0.00092294
                     39,                0.41333,                0.07835,                0.03029,                0.28817,                0.85784,                0.96498,                  0.815,                0.89247,                0.72625,                0.94268,                0.79301,                0.85441,                0.79236,                0.80388,                0.49382,                0.00569,                0.69387,                 1.1049,             0.00091872,             0.00091872,             0.00091872
                     40,                0.41679,                0.08359,                0.02633,                0.29233,                0.86014,                0.95273,                0.82657,                0.90354,                0.72718,                0.92918,                 0.8153,                0.87686,                0.80779,                0.83302,                0.47751,                0.00908,                0.66003,                 1.1183,              0.0009144,              0.0009144,              0.0009144
                     41,                 0.4082,                0.10992,                0.03706,                0.28475,                0.85494,                0.95841,                0.84166,                0.90742,                 0.7381,                 0.9403,                0.82575,                 0.8791,                0.81105,                0.80759,                0.47163,                0.01077,                0.63231,                 1.0892,             0.00090998,             0.00090998,             0.00090998
                     42,                0.40689,                0.09237,                0.03348,                 0.2848,                0.85885,                0.94616,                0.84302,                 0.9058,                0.73569,                0.91823,                0.81785,                0.85938,                0.79215,                 0.8115,                0.48541,                0.00923,                 0.6215,                 1.0959,             0.00090546,             0.00090546,             0.00090546
                     43,                0.39976,                0.10279,                0.02164,                0.28531,                0.85208,                0.95905,                0.82873,                 0.9101,                0.73623,                 0.9226,                0.81187,                 0.8644,                0.78734,                0.83305,                 0.5676,                0.00996,                0.66651,                 1.1111,             0.00090084,             0.00090084,             0.00090084
                     44,                0.41838,                 0.1165,                0.03675,                0.28844,                 0.8605,                0.96133,                0.80537,                0.88774,                0.73013,                0.94164,                0.78822,                0.85516,                0.78211,                0.79191,                0.54682,                0.01455,                0.75891,                 1.0883,             0.00089613,             0.00089613,             0.00089613
                     45,                0.41043,                 0.0747,                0.02763,                0.29248,                0.86997,                0.95299,                0.82133,                0.90289,                0.74265,                0.92732,                0.79921,                0.86187,                0.79293,                0.78438,                0.55179,                0.00663,                0.64179,                  1.077,             0.00089131,             0.00089131,             0.00089131
                     46,                0.40063,                0.07859,                0.02658,                0.28256,                0.85659,                0.96808,                0.82451,                 0.8845,                0.71427,                0.94667,                0.80753,                0.85053,                0.77814,                0.79851,                 0.4851,                0.01139,                0.65308,                 1.0831,              0.0008864,              0.0008864,              0.0008864
                     47,                 0.3921,                 0.0891,                0.01756,                0.27634,                0.85092,                0.97541,                0.82829,                0.91074,                0.74298,                0.94928,                0.80785,                0.87321,                0.81146,                0.78017,                0.48005,                0.00864,                 0.5986,                 1.0683,              0.0008814,              0.0008814,              0.0008814
                     48,                0.39179,                0.08507,                0.02837,                0.28032,                 0.8562,                0.94038,                0.78325,                0.87397,                0.72006,                0.92619,                0.76111,                0.84336,                0.78717,                0.80086,                0.47389,                0.01213,                0.74302,                 1.0882,              0.0008763,              0.0008763,              0.0008763
