                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.35617,                0.49729,                0.26203,                0.81773,                0.95767,                0.83172,                0.89953,                0.75248,                0.95714,                0.81332,                0.88415,                0.64185,                0.73975,                 2.0389,                0.59754,                0.97624,             0.00086584,             0.00086584,             0.00086584
                     51,                0.34262,                0.48126,                0.25212,                0.80887,                0.96843,                0.82354,                  0.898,                0.75448,                0.96059,                0.81258,                0.88251,                 0.6455,                0.73133,                 2.0619,                0.61122,                0.97561,             0.00086047,             0.00086047,             0.00086047
                     52,                0.35496,                0.46703,                0.26139,                0.81597,                0.97488,                0.83929,                0.90234,                0.74938,                0.96439,                 0.8279,                0.88779,                0.63496,                0.74024,                 2.0904,                0.57018,                0.98398,             0.00085502,             0.00085502,             0.00085502
                     53,                0.34352,                0.46613,                0.25082,                0.81288,                0.97538,                0.84837,                0.92077,                0.77415,                0.96219,                0.83967,                0.90695,                0.66447,                0.72915,                 2.0887,                0.55046,                0.97839,             0.00084948,             0.00084948,             0.00084948
                     54,                0.34249,                0.43344,                0.25313,                0.81335,                0.97256,                0.82812,                 0.8949,                0.74946,                0.96207,                0.81969,                0.88116,                0.64142,                0.72574,                 2.0851,                0.58862,                0.97494,             0.00084385,             0.00084385,             0.00084385
                     55,                0.34425,                0.48814,                0.25271,                0.80163,                0.97111,                0.84489,                0.91902,                0.77156,                0.95584,                0.83394,                 0.9038,                0.66085,                0.72376,                 2.1529,                0.53689,                 0.9751,             0.00083814,             0.00083814,             0.00083814
                     56,                0.33908,                0.44041,                0.24984,                0.80808,                0.96117,                0.86229,                0.92266,                0.77424,                0.94818,                0.85011,                0.90616,                0.66399,                0.72516,                  1.957,                0.52448,                0.97731,             0.00083235,             0.00083235,             0.00083235
                     57,                0.34403,                0.51837,                0.25379,                0.81394,                0.96345,                 0.8386,                  0.915,                0.77084,                0.95418,                0.82815,                0.90136,                 0.6594,                0.73229,                 2.0718,                0.55971,                 0.9826,             0.00082648,             0.00082648,             0.00082648
                     58,                0.34032,                0.46402,                0.25063,                 0.8127,                0.96333,                 0.8554,                0.91442,                0.76538,                0.95217,                0.84091,                0.89793,                0.65246,                0.72486,                 2.0683,                0.54373,                0.97678,             0.00082052,             0.00082052,             0.00082052
                     59,                0.33073,                0.45988,                0.24433,                0.80839,                 0.9722,                0.84336,                0.91611,                0.76837,                 0.9616,                0.83409,                0.90383,                0.65696,                 0.7229,                 2.1184,                0.53138,                0.97277,              0.0008145,              0.0008145,              0.0008145
                     60,                0.34229,                 0.4229,                0.24733,                0.81566,                0.96603,                0.84116,                0.91552,                0.77303,                 0.9568,                0.83134,                0.90226,                0.66222,                0.72914,                 2.1531,                0.57497,                0.97692,             0.00080839,             0.00080839,             0.00080839
                     61,                0.33631,                0.48482,                0.24272,                0.81468,                0.96128,                 0.8577,                0.92431,                0.78362,                0.95027,                0.84075,                0.91022,                0.67041,                0.72137,                  2.136,                0.54781,                0.97059,             0.00080221,             0.00080221,             0.00080221
                     62,                0.32658,                0.48305,                0.24411,                0.81308,                0.97681,                0.85845,                0.92981,                0.78346,                0.96796,                0.84638,                0.91538,                0.66934,                0.72355,                 2.0986,                0.49426,                0.97768,             0.00079595,             0.00079595,             0.00079595
                     63,                 0.3392,                0.48211,                0.24458,                0.81715,                0.96498,                0.86005,                0.92296,                0.76941,                0.95436,                 0.8473,                0.90643,                0.65446,                  0.721,                 2.1704,                0.51231,                0.97155,             0.00078963,             0.00078963,             0.00078963
                     64,                 0.3223,                0.47833,                0.23623,                0.80466,                0.96696,                0.85807,                0.92414,                0.77895,                0.96208,                0.84091,                0.91022,                0.66502,                0.71534,                 2.1491,                  0.517,                0.96907,             0.00078323,             0.00078323,             0.00078323
                     65,                0.32249,                0.44666,                0.23915,                0.80461,                0.96639,                0.84344,                0.90818,                0.75931,                0.95797,                0.82898,                0.89307,                0.64305,                0.71631,                 2.1258,                0.55317,                0.97005,             0.00077677,             0.00077677,             0.00077677
                     66,                0.32626,                0.45787,                0.23954,                0.80854,                 0.9624,                0.82401,                0.90827,                0.77031,                0.97158,                0.79878,                0.89452,                0.65899,                0.71248,                 2.0299,                0.57308,                0.97285,             0.00077023,             0.00077023,             0.00077023
                     67,                0.32092,                0.42947,                0.23761,                 0.8064,                 0.9678,                0.84663,                0.92018,                0.77907,                0.96245,                0.83172,                0.90662,                0.66423,                0.71263,                 2.1065,                0.54011,                0.97273,             0.00076364,             0.00076364,             0.00076364
                     68,                0.31703,                 0.4391,                0.23297,                0.80499,                0.96854,                0.85459,                0.91878,                0.77464,                0.95642,                 0.8439,                0.90568,                0.66268,                0.71594,                 2.1891,                0.51729,                0.97711,             0.00075698,             0.00075698,             0.00075698
                     69,                 0.3242,                0.42096,                0.23462,                0.80654,                0.96316,                0.85795,                0.92081,                0.77788,                0.95254,                0.84464,                0.90597,                0.66447,                0.71946,                 2.1164,                0.51839,                0.97512,             0.00075025,             0.00075025,             0.00075025
                     70,                0.32416,                0.42716,                0.23042,                0.81039,                0.96024,                 0.8524,                0.91389,                0.77503,                0.94885,                0.84375,                0.90161,                0.66034,                0.70924,                 2.1111,                0.52046,                0.96926,             0.00074347,             0.00074347,             0.00074347
                     71,                0.31313,                0.44837,                0.23255,                0.80406,                0.96877,                  0.856,                 0.9218,                 0.7797,                0.95667,                 0.8452,                0.90881,                0.66738,                0.71731,                 2.2241,                0.52887,                0.97589,             0.00073663,             0.00073663,             0.00073663
                     72,                0.31495,                0.43439,                0.22994,                0.80381,                0.96206,                 0.8613,                  0.929,                0.78972,                0.96395,                0.83793,                0.91583,                0.67569,                 0.7149,                  2.203,                0.51364,                0.97716,             0.00072973,             0.00072973,             0.00072973
                     73,                0.30279,                0.41524,                0.22335,                0.80124,                0.96978,                0.85362,                0.93147,                0.79297,                0.95315,                0.84453,                 0.9185,                0.68042,                0.71759,                 2.2774,                0.51356,                0.97903,             0.00072277,             0.00072277,             0.00072277
                     74,                0.31849,                 0.3963,                0.23138,                0.80386,                0.95891,                0.85856,                0.92272,                0.78065,                0.94855,                 0.8439,                0.90842,                0.66856,                0.71911,                 2.1834,                0.52822,                0.97869,             0.00071576,             0.00071576,             0.00071576
                     75,                0.30977,                0.43537,                0.22776,                0.79921,                0.96193,                0.86685,                0.92324,                0.78325,                0.94952,                 0.8556,                0.90981,                0.66863,                0.70986,                  2.164,                0.50563,                0.97264,              0.0007087,              0.0007087,              0.0007087
                     76,                0.29687,                0.44984,                 0.2225,                0.79497,                0.96821,                0.84789,                0.91684,                0.77946,                0.95921,                0.83619,                0.90433,                0.66721,                0.71028,                 2.1465,                  0.541,                0.97082,             0.00070159,             0.00070159,             0.00070159
                     77,                0.30116,                0.42084,                0.22279,                0.79971,                0.97078,                0.85359,                0.92343,                0.78292,                0.95848,                0.84349,                0.91002,                0.66911,                 0.7129,                 2.2084,                0.51704,                0.97383,             0.00069443,             0.00069443,             0.00069443
                     78,                0.30992,                0.42915,                0.22879,                0.81113,                0.97283,                0.84542,                0.92292,                0.78504,                0.96053,                0.83473,                 0.9104,                0.67194,                0.70807,                 2.1915,                0.51819,                0.97399,             0.00068722,             0.00068722,             0.00068722
                     79,                 0.3056,                0.42146,                0.22378,                0.80124,                0.96513,                0.86005,                0.92423,                0.78755,                0.95381,                0.84663,                0.91062,                0.67254,                0.70348,                 2.2334,                 0.5014,                0.96906,             0.00067997,             0.00067997,             0.00067997
                     80,                0.30616,                0.40997,                0.22079,                0.80281,                0.96692,                0.85736,                0.92535,                0.78601,                0.95218,                0.85125,                0.91246,                0.67312,                0.70725,                 2.2038,                0.49905,                0.96961,             0.00067268,             0.00067268,             0.00067268
                     81,                0.30506,                0.41119,                0.22215,                0.80397,                0.97063,                 0.8542,                0.91816,                 0.7773,                0.95876,                0.84376,                0.90444,                0.66149,                0.71274,                 2.2069,                 0.5149,                0.97248,             0.00066534,             0.00066534,             0.00066534
                     82,                0.30545,                0.41078,                0.22131,                0.80059,                0.96964,                0.85746,                0.91681,                0.77298,                0.95868,                0.84776,                0.90246,                0.65676,                0.70884,                 2.1586,                0.50366,                 0.9698,             0.00065796,             0.00065796,             0.00065796
                     83,                0.29834,                0.40688,                  0.217,                0.79786,                0.97454,                0.85633,                0.91931,                0.77715,                0.96488,                0.84738,                 0.9062,                0.66063,                0.70853,                 2.1762,                0.50153,                0.97133,             0.00065055,             0.00065055,             0.00065055
                     84,                0.30065,                0.41837,                0.21918,                0.79648,                0.96556,                0.85931,                0.91572,                0.77362,                0.95782,                0.84713,                0.90228,                0.65941,                0.70627,                 2.1838,                0.50751,                0.96879,              0.0006431,              0.0006431,              0.0006431
                     85,                0.29674,                0.40625,                0.21459,                0.79668,                0.97151,                0.85597,                0.91812,                0.77523,                0.96553,                0.84251,                0.90364,                0.66087,                0.70734,                 2.2597,                0.50806,                0.96831,             0.00063562,             0.00063562,             0.00063562
                     86,                0.29756,                0.42727,                0.21743,                0.80753,                0.96767,                 0.8557,                0.91529,                0.77443,                 0.9582,                0.84332,                0.90256,                0.66094,                0.70508,                 2.2231,                0.51475,                0.96683,              0.0006281,              0.0006281,              0.0006281
                     87,                0.29263,                0.39846,                0.21247,                0.79566,                0.96582,                0.86404,                0.92184,                 0.7811,                 0.9546,                0.85196,                0.90814,                0.66845,                0.70604,                 2.2315,                0.51315,                0.96695,             0.00062056,             0.00062056,             0.00062056
                     88,                0.29102,                0.38107,                0.21518,                0.79979,                0.97026,                0.85906,                0.92557,                0.78551,                0.95936,                0.84862,                0.91152,                0.67184,                0.70729,                  2.258,                0.50352,                0.96784,             0.00061298,             0.00061298,             0.00061298
                     89,                0.29251,                 0.3916,                0.21768,                0.80437,                0.96524,                0.86279,                0.92419,                0.78384,                0.95712,                0.84899,                0.91066,                0.66981,                0.70567,                 2.2703,                0.50698,                0.96918,             0.00060538,             0.00060538,             0.00060538
                     90,                0.29015,                0.38857,                0.21495,                0.79583,                0.96172,                0.86478,                0.92079,                0.78089,                0.95467,                0.84837,                0.90627,                0.66627,                0.70554,                 2.2346,                 0.5126,                0.97011,             0.00059775,             0.00059775,             0.00059775
                     91,                0.28713,                0.40431,                0.21031,                0.79877,                 0.9646,                0.86694,                0.92421,                0.78281,                0.95298,                 0.8565,                0.91048,                0.66737,                0.70666,                 2.2275,                0.49985,                0.97032,              0.0005901,              0.0005901,              0.0005901
                     92,                0.28455,                0.37677,                0.20935,                0.79178,                0.97249,                0.85682,                0.92432,                0.78257,                0.96327,                0.84613,                0.91082,                0.66807,                0.71038,                 2.2649,                0.50688,                0.97299,             0.00058244,             0.00058244,             0.00058244
                     93,                0.28578,                0.38582,                0.21121,                0.79866,                0.96921,                0.85483,                0.92539,                0.78646,                0.95697,                0.84415,                0.91111,                0.67242,                0.70722,                  2.278,                0.50875,                0.97123,             0.00057475,             0.00057475,             0.00057475
                     94,                0.29025,                0.39404,                0.21254,                0.80002,                 0.9638,                0.86033,                0.92691,                0.78819,                0.95213,                0.84862,                0.91377,                0.67437,                0.70605,                 2.2653,                0.50959,                0.96993,             0.00056704,             0.00056704,             0.00056704
                     95,                 0.2916,                0.40797,                0.21007,                0.79794,                0.96601,                0.86199,                0.92744,                0.78824,                0.95449,                0.84979,                0.91321,                0.67536,                0.70571,                 2.2523,                 0.5156,                0.97059,             0.00055932,             0.00055932,             0.00055932
                     96,                0.27909,                0.39806,                0.20473,                0.78824,                0.95908,                0.86232,                0.92776,                0.78934,                0.94625,                0.84912,                0.91224,                0.67628,                0.70475,                 2.2641,                0.51479,                0.97124,             0.00055158,             0.00055158,             0.00055158
                     97,                0.27742,                0.35395,                0.20393,                0.79003,                0.95668,                0.86403,                0.92706,                0.78823,                0.94446,                0.85135,                0.91226,                0.67457,                0.70585,                 2.2711,                0.51552,                0.97231,             0.00054384,             0.00054384,             0.00054384
                     98,                0.28548,                0.40232,                0.20801,                0.79624,                0.95653,                0.86413,                0.92722,                0.78857,                0.94992,                0.84713,                0.91336,                0.67458,                0.70686,                 2.2649,                0.51748,                 0.9742,             0.00053608,             0.00053608,             0.00053608
                     99,                0.28551,                0.40021,                 0.2069,                0.80178,                0.95856,                0.86005,                0.92557,                0.78622,                0.95334,                0.84314,                 0.9103,                0.67253,                0.70704,                 2.2725,                0.51751,                0.97442,             0.00052832,             0.00052832,             0.00052832
                    100,                0.27436,                0.34832,                  0.202,                0.79491,                0.96237,                0.85757,                0.92484,                0.78605,                0.95198,                0.84514,                0.90943,                0.67275,                0.70709,                 2.2637,                0.52299,                0.97499,             0.00052055,             0.00052055,             0.00052055
                    101,                 0.2708,                0.34941,                0.19967,                 0.7947,                0.96243,                0.85966,                0.92684,                0.78724,                0.95364,                 0.8436,                0.91124,                0.67345,                0.70696,                  2.257,                0.51739,                0.97468,             0.00051278,             0.00051278,             0.00051278
                    102,                0.26728,                0.39715,                0.19845,                0.79203,                0.96456,                0.85911,                 0.9274,                0.78937,                0.95473,                0.84564,                0.91343,                 0.6756,                0.70455,                 2.2482,                0.51942,                0.97434,               0.000505,               0.000505,               0.000505
                    103,                0.28215,                0.38565,                0.20479,                0.79488,                0.96257,                0.86005,                0.92724,                0.78903,                0.95145,                0.84763,                0.91381,                0.67517,                0.70264,                 2.2572,                0.51329,                0.97335,             0.00049722,             0.00049722,             0.00049722
                    104,                0.27353,                0.36693,                0.20205,                0.78867,                0.96162,                0.85939,                0.92604,                 0.7881,                0.95278,                0.84763,                0.91249,                0.67468,                0.70445,                 2.2611,                 0.5172,                 0.9742,             0.00048945,             0.00048945,             0.00048945
                    105,                0.26829,                 0.3909,                0.19902,                  0.791,                0.96318,                0.85828,                0.92453,                0.78642,                0.95293,                0.84713,                0.91164,                0.67319,                0.70559,                 2.2797,                0.51728,                  0.975,             0.00048168,             0.00048168,             0.00048168
                    106,                0.27307,                0.35873,                0.20009,                 0.7963,                0.96417,                0.85617,                0.92303,                0.78417,                0.95692,                0.84439,                0.90982,                0.67084,                0.70457,                 2.2927,                0.51768,                0.97466,             0.00047392,             0.00047392,             0.00047392
                    107,                0.27139,                0.41675,                0.19795,                 0.7961,                0.96794,                0.85543,                0.92176,                0.78258,                0.95878,                 0.8442,                0.90882,                  0.669,                0.70446,                 2.2866,                0.51635,                0.97489,             0.00046616,             0.00046616,             0.00046616
                    108,                0.27379,                0.35457,                0.19951,                0.79747,                0.96726,                0.85757,                0.92125,                0.78285,                0.95673,                0.84638,                0.90727,                  0.668,                0.70416,                  2.294,                0.51584,                0.97444,             0.00045842,             0.00045842,             0.00045842
