                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.39811,                0.27036,                0.85466,                0.94461,                0.80313,                0.88355,                0.70904,                0.83408,                0.71211,                 1.1021,              0.0008763,              0.0008763,              0.0008763
                     49,                0.39793,                 0.2705,                0.85083,                0.95632,                0.78847,                0.87613,                0.70986,                 0.8252,                0.71674,                  1.095,             0.00087112,             0.00087112,             0.00087112
                     50,                0.38764,                0.26298,                0.85216,                0.95717,                 0.8165,                0.90116,                0.73208,                0.81575,                0.69324,                 1.0839,             0.00086584,             0.00086584,             0.00086584
                     51,                0.39726,                0.26757,                0.84914,                0.97254,                0.76603,                0.85655,                0.70209,                0.78958,                0.77675,                 1.0737,             0.00086047,             0.00086047,             0.00086047
                     52,                0.38274,                0.25962,                0.84074,                0.96502,                0.80363,                0.87201,                0.70525,                0.80329,                0.67185,                 1.0917,             0.00085502,             0.00085502,             0.00085502
                     53,                0.38985,                0.26266,                0.85081,                0.95286,                0.80164,                0.88948,                 0.7412,                0.77173,                0.69564,                  1.067,             0.00084948,             0.00084948,             0.00084948
                     54,                0.38236,                0.25507,                 0.8441,                0.95972,                0.84812,                0.91307,                0.74753,                0.80753,                0.60777,                 1.0884,             0.00084385,             0.00084385,             0.00084385
                     55,                0.37881,                0.25217,                0.83875,                0.95855,                0.81432,                0.89777,                0.73629,                0.79061,                 0.6524,                 1.0764,             0.00083814,             0.00083814,             0.00083814
                     56,                0.37514,                0.25462,                0.83096,                0.96155,                0.81457,                0.89789,                0.73606,                0.78856,                0.66974,                 1.0775,             0.00083235,             0.00083235,             0.00083235
                     57,                0.37712,                0.25932,                0.83668,                0.95658,                0.82774,                 0.9057,                0.74967,                0.78191,                0.66345,                   1.08,             0.00082648,             0.00082648,             0.00082648
                     58,                0.37414,                0.25121,                0.83932,                  0.964,                0.85189,                0.92531,                0.76146,                0.78019,                0.58547,                 1.0777,             0.00082052,             0.00082052,             0.00082052
                     59,                0.36352,                0.24693,                0.83876,                0.96777,                0.79106,                0.86384,                0.70735,                0.79554,                0.71432,                 1.0854,              0.0008145,              0.0008145,              0.0008145
                     60,                0.37219,                0.24864,                0.83417,                 0.9627,                 0.8213,                0.90239,                 0.7471,                0.78957,                0.64943,                 1.0841,             0.00080839,             0.00080839,             0.00080839
                     61,                0.36435,                0.24489,                0.83967,                0.96285,                0.82252,                0.89929,                0.74124,                0.78695,                0.66202,                 1.0732,             0.00080221,             0.00080221,             0.00080221
                     62,                0.36391,                0.24255,                0.83751,                0.96529,                0.84141,                0.92265,                0.76264,                0.79392,                0.62826,                 1.0782,             0.00079595,             0.00079595,             0.00079595
                     63,                0.37041,                0.25023,                0.83723,                0.96838,                0.84492,                0.91011,                0.74771,                0.77595,                0.58185,                 1.0719,             0.00078963,             0.00078963,             0.00078963
                     64,                0.36132,                0.24575,                0.83705,                 0.9493,                0.82799,                0.90263,                0.74613,                0.77954,                0.65464,                 1.0723,             0.00078323,             0.00078323,             0.00078323
                     65,                0.35684,                0.24511,                 0.8375,                 0.9602,                 0.8086,                0.90622,                 0.7565,                0.75543,                0.64489,                 1.0572,             0.00077677,             0.00077677,             0.00077677
                     66,                0.35417,                0.24251,                0.82963,                 0.9635,                0.82799,                0.91604,                0.76806,                0.77479,                0.64976,                 1.0648,             0.00077023,             0.00077023,             0.00077023
                     67,                0.35399,                 0.2409,                0.82958,                 0.9623,                0.83072,                0.91593,                0.76218,                0.76196,                0.61721,                 1.0557,             0.00076364,             0.00076364,             0.00076364
                     68,                0.35429,                0.23844,                0.82729,                0.96025,                0.84912,                0.92345,                0.76736,                0.77014,                0.62028,                 1.0714,             0.00075698,             0.00075698,             0.00075698
                     69,                0.34533,                 0.2355,                0.82078,                0.96242,                 0.8516,                0.92813,                0.77444,                 0.7575,                0.56724,                 1.0653,             0.00075025,             0.00075025,             0.00075025
                     70,                0.35933,                0.23744,                0.83066,                0.96689,                0.84929,                 0.9201,                0.76529,                 0.7616,                 0.5957,                  1.063,             0.00074347,             0.00074347,             0.00074347
                     71,                0.35668,                0.23804,                0.83229,                0.95747,                0.83378,                0.90877,                0.75324,                0.77556,                0.62107,                 1.0754,             0.00073663,             0.00073663,             0.00073663
                     72,                0.34687,                0.23635,                 0.8279,                0.96254,                0.82202,                0.91113,                0.76039,                 0.7469,                0.61985,                 1.0544,             0.00072973,             0.00072973,             0.00072973
                     73,                0.35155,                 0.2365,                0.83263,                0.95766,                0.83495,                0.91199,                0.76141,                0.76493,                0.60665,                 1.0648,             0.00072277,             0.00072277,             0.00072277
