                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.39993,                0.53889,                0.28881,                0.83983,                0.97389,                0.93424,                0.96847,                0.81448,                0.96298,                0.92311,                0.95286,                 0.6974,                0.66772,                 1.6628,                0.46036,                0.98672,             0.00075698,             0.00075698,             0.00075698
                     35,                0.38557,                0.52294,                0.28349,                0.83905,                0.97939,                0.93014,                0.97001,                  0.831,                0.97153,                0.92267,                0.95926,                0.72349,                0.65622,                 1.5956,                0.45632,                0.97662,             0.00074347,             0.00074347,             0.00074347
                     36,                0.38589,                0.51405,                0.27892,                0.82241,                0.98588,                0.92707,                0.96497,                0.82494,                0.97854,                0.92146,                 0.9567,                0.71117,                0.65437,                 1.6556,                0.45432,                0.97874,             0.00072973,             0.00072973,             0.00072973
                     37,                0.38489,                0.49365,                0.27849,                0.83371,                0.97705,                0.93511,                0.96944,                 0.8196,                 0.9697,                 0.9281,                0.95881,                0.70564,                 0.6684,                 1.6254,                0.42753,                0.98931,             0.00071576,             0.00071576,             0.00071576
                     38,                 0.3751,                0.46537,                0.27254,                0.82194,                0.96637,                0.93893,                0.96747,                0.81665,                0.96696,                0.92707,                0.95815,                0.70047,                0.66528,                 1.6576,                0.42035,                0.99326,             0.00070159,             0.00070159,             0.00070159
                     39,                0.38332,                0.51075,                0.27698,                0.82961,                0.97752,                0.93615,                0.97365,                0.82733,                 0.9711,                0.93006,                0.96185,                0.71224,                0.65666,                 1.7351,                0.40506,                0.97577,             0.00068722,             0.00068722,             0.00068722
                     40,                0.36702,                0.49896,                0.26679,                0.82119,                0.98711,                0.92707,                0.97239,                0.83188,                0.97911,                 0.9196,                0.96156,                0.72163,                0.65433,                 1.6521,                0.43223,                0.97805,             0.00067268,             0.00067268,             0.00067268
                     41,                0.36606,                0.49383,                 0.2681,                0.82336,                0.98484,                0.93673,                0.97434,                0.82462,                0.96897,                0.93281,                 0.9597,                0.69922,                0.64862,                 1.7207,                0.40264,                0.97594,             0.00065796,             0.00065796,             0.00065796
                     42,                0.36635,                0.46661,                0.26518,                0.82695,                0.97183,                0.93981,                0.97308,                0.83216,                0.96955,                0.92334,                 0.9591,                0.70747,                 0.6416,                 1.6778,                0.40584,                0.96492,              0.0006431,              0.0006431,              0.0006431
                     43,                0.36885,                0.49281,                0.26718,                0.83373,                0.97445,                0.93837,                0.97672,                0.84197,                0.96669,                 0.9309,                0.96679,                0.72637,                0.63748,                  1.717,                0.41925,                0.96463,              0.0006281,              0.0006281,              0.0006281
                     44,                0.36248,                0.52515,                0.26189,                0.82736,                0.98549,                0.93893,                0.97329,                0.82738,                0.97857,                0.93234,                0.96275,                0.70459,                0.65076,                 1.7291,                0.40138,                0.97586,             0.00061298,             0.00061298,             0.00061298
                     45,                  0.347,                0.44234,                 0.2544,                0.80706,                0.98184,                0.93541,                0.97362,                0.83557,                  0.974,                0.92794,                0.96382,                0.71774,                0.64927,                 1.8496,                0.41874,                0.97253,             0.00059775,             0.00059775,             0.00059775
                     46,                0.35388,                 0.4812,                0.25649,                0.81829,                0.98075,                0.93997,                 0.9735,                0.83854,                0.97431,                0.93332,                0.96468,                 0.7214,                 0.6423,                 1.8077,                0.40744,                0.97019,             0.00058244,             0.00058244,             0.00058244
                     47,                 0.3545,                 0.4849,                0.26654,                0.82589,                0.98262,                0.94387,                0.97429,                0.83187,                0.97256,                 0.9342,                0.96304,                0.71527,                0.64204,                 1.7183,                 0.4028,                0.97285,             0.00056704,             0.00056704,             0.00056704
                     48,                0.32975,                0.46492,                0.25244,                0.80471,                0.97872,                0.93409,                0.96723,                 0.8267,                0.96997,                0.92575,                 0.9544,                0.70911,                0.62739,                 1.7855,                0.41378,                0.96748,             0.00055158,             0.00055158,             0.00055158
                     49,                0.34122,                0.45951,                0.24995,                0.82076,                0.98609,                0.93278,                0.97063,                0.82691,                0.97864,                0.92587,                 0.9605,                0.71025,                 0.6446,                 1.7713,                0.41277,                0.97305,             0.00053608,             0.00053608,             0.00053608
                     50,                0.33797,                0.48061,                0.24846,                 0.8201,                0.98275,                0.95121,                0.97864,                0.84279,                0.97594,                0.94466,                0.97004,                0.72753,                0.63092,                 1.6893,                0.38286,                0.96424,             0.00052055,             0.00052055,             0.00052055
                     51,                0.33058,                0.42425,                0.24157,                0.81443,                0.98178,                0.94722,                0.97662,                0.83766,                0.97541,                0.94107,                 0.9665,                0.71923,                0.62996,                 1.7325,                0.37362,                0.95935,               0.000505,               0.000505,               0.000505
                     52,                0.33689,                0.46706,                0.24915,                0.81771,                0.98264,                0.94503,                0.97401,                0.83703,                0.97625,                  0.939,                 0.9668,                0.71876,                0.63266,                 1.8981,                0.39522,                0.95986,             0.00048945,             0.00048945,             0.00048945
                     53,                0.33013,                0.43119,                 0.2436,                0.81743,                0.98576,                0.94278,                0.97323,                0.84009,                 0.9807,                0.93981,                0.96705,                0.72001,                 0.6263,                 1.8083,                0.38929,                0.95644,             0.00047392,             0.00047392,             0.00047392
                     54,                0.33262,                0.44711,                 0.2444,                0.81802,                0.98617,                0.94376,                0.97188,                0.83688,                0.98068,                0.93805,                0.96534,                0.71755,                0.61758,                 1.7863,                0.38996,                   0.95,             0.00045842,             0.00045842,             0.00045842
                     55,                0.32533,                  0.451,                0.23829,                0.81936,                0.97922,                0.93937,                0.97063,                0.83677,                0.97326,                0.93366,                 0.9617,                0.71861,                0.62507,                 1.8023,                0.40542,                0.95884,             0.00044296,             0.00044296,             0.00044296
                     56,                0.31716,                0.44545,                0.23544,                0.81233,                0.98247,                0.95255,                0.97852,                 0.8484,                 0.9782,                0.94617,                0.96971,                0.73029,                0.61731,                  1.815,                0.36082,                0.95942,             0.00042756,             0.00042756,             0.00042756
                     57,                0.31915,                0.41654,                0.23625,                0.81944,                0.97964,                0.95153,                0.97767,                0.84408,                0.97238,                0.94358,                0.96705,                0.72704,                0.62486,                 1.7726,                0.37792,                0.95403,             0.00041225,             0.00041225,             0.00041225
                     58,                0.31872,                 0.4514,                0.23204,                0.80828,                0.98222,                0.94677,                  0.979,                0.85426,                0.97356,                0.93834,                0.96705,                0.73699,                0.62543,                 1.8431,                0.37894,                0.96348,             0.00039702,             0.00039702,             0.00039702
                     59,                0.31832,                0.44186,                0.23182,                 0.8084,                0.98444,                0.94515,                0.96993,                0.83464,                0.97758,                0.93856,                0.95903,                0.71618,                0.61761,                 1.7937,                0.38582,                0.95597,              0.0003819,              0.0003819,              0.0003819
                     60,                0.30677,                0.40594,                0.22739,                0.80561,                0.98523,                0.94464,                0.97447,                0.83989,                0.97667,                  0.938,                0.96283,                0.72009,                0.62015,                 1.8649,                 0.3885,                0.95369,              0.0003669,              0.0003669,              0.0003669
                     61,                0.31902,                0.42588,                0.22981,                0.81101,                0.98318,                0.95036,                0.97701,                0.84664,                0.97455,                0.94201,                0.96611,                 0.7283,                0.61891,                 1.9109,                0.37529,                0.95209,             0.00035204,             0.00035204,             0.00035204
                     62,                0.30308,                0.41981,                0.22174,                 0.8067,                0.98552,                  0.942,                0.97597,                0.84394,                0.97863,                0.93541,                0.96583,                0.73071,                 0.6249,                 1.8099,                0.38673,                 0.9561,             0.00033732,             0.00033732,             0.00033732
                     63,                0.31112,                0.41694,                0.22667,                0.81513,                0.98242,                0.94903,                0.97896,                0.84553,                0.97626,                 0.9394,                0.96691,                0.73004,                0.63261,                 1.8406,                0.36866,                0.96722,             0.00032278,             0.00032278,             0.00032278
                     64,                0.29911,                0.44172,                0.22033,                0.81059,                0.98671,                0.94591,                0.97751,                 0.8461,                0.97892,                0.93844,                0.96591,                 0.7272,                0.62898,                 1.9285,                0.37354,                0.96056,             0.00030841,             0.00030841,             0.00030841
                     65,                0.29464,                0.38688,                 0.2193,                0.80093,                0.98229,                0.94508,                0.97548,                0.84393,                0.97402,                0.93717,                0.96378,                0.72932,                0.62313,                 1.8472,                0.38036,                0.95645,             0.00029424,             0.00029424,             0.00029424
                     66,                0.29559,                0.42925,                0.21571,                0.80576,                0.98724,                0.95191,                0.97693,                0.84495,                0.97993,                0.94373,                0.96714,                0.72754,                0.62165,                 1.8787,                0.38085,                0.95656,             0.00028027,             0.00028027,             0.00028027
                     67,                0.29056,                0.38369,                0.21354,                 0.8032,                0.98705,                0.94947,                0.97648,                 0.8437,                 0.9799,                 0.9426,                0.96605,                0.72521,                0.62241,                 1.8858,                0.37651,                0.95561,             0.00026653,             0.00026653,             0.00026653
                     68,                0.28797,                0.37407,                0.21258,                0.80072,                0.99024,                0.94903,                 0.9771,                0.84817,                0.98424,                0.94332,                0.96766,                 0.7289,                0.61433,                 1.8842,                0.36139,                0.95284,             0.00025302,             0.00025302,             0.00025302
