                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.35092,                 0.1601,                      0,                 0.2524,                 0.8149,                0.98085,                0.95694,                 0.9866,                0.87091,                0.97725,                0.95343,                0.98098,                0.93573,                0.56573,                0.27555,                      0,                0.34024,                0.93072,             0.00078323,             0.00078323,             0.00078323
                     33,                0.36021,                0.18561,                      0,                 0.2598,                0.82592,                0.98559,                 0.9587,                0.98891,                0.87688,                0.97972,                0.95299,                0.98021,                0.92738,                0.56032,                0.28808,                      0,                0.32559,                0.92971,             0.00077023,             0.00077023,             0.00077023
                     34,                0.34785,                0.16685,                      0,                0.24968,                0.82176,                0.98502,                0.95312,                0.98694,                0.86846,                0.98047,                0.94873,                 0.9822,                0.93576,                 0.5752,                0.29108,                      0,                0.34177,                0.93464,             0.00075698,             0.00075698,             0.00075698
                     35,                0.34752,                0.16799,                      0,                0.24735,                0.81855,                0.98629,                 0.9688,                0.99124,                0.88037,                0.98226,                0.96485,                0.98448,                0.93273,                 0.5621,                0.29366,                      0,                0.31286,                 0.9483,             0.00074347,             0.00074347,             0.00074347
                     36,                0.34506,                0.15873,                      0,                0.24973,                0.82011,                0.99145,                0.96758,                0.99336,                0.87912,                0.98715,                0.96397,                0.98879,                0.94186,                0.56085,                0.25355,                      0,                0.30339,                0.92253,             0.00072973,             0.00072973,             0.00072973
                     37,                0.33681,                0.15273,                      0,                 0.2469,                0.81987,                0.98669,                0.96265,                0.99012,                0.87456,                0.98114,                0.95978,                0.98592,                0.93455,                0.55983,                0.26864,                      0,                0.31408,                0.93729,             0.00071576,             0.00071576,             0.00071576
                     38,                 0.3384,                0.16507,                      0,                 0.2457,                0.81431,                0.98454,                0.96529,                0.99052,                0.88472,                0.98083,                0.96178,                0.98675,                0.94265,                0.54552,                  0.264,                      0,                0.31984,                0.92328,             0.00070159,             0.00070159,             0.00070159
                     39,                0.33564,                 0.1831,                      0,                0.23785,                0.81675,                 0.9852,                0.96495,                0.99114,                0.88136,                0.98161,                0.96143,                0.98617,                0.93809,                0.54512,                0.26338,                      0,                0.30748,                0.91814,             0.00068722,             0.00068722,             0.00068722
                     40,                0.33443,                0.17406,                      0,                0.24233,                0.81987,                0.98466,                 0.9609,                0.98802,                0.88092,                0.97217,                0.95738,                0.97873,                0.93116,                0.54974,                0.27939,                      0,                0.32942,                0.91764,             0.00067268,             0.00067268,             0.00067268
                     41,                0.33576,                0.14616,                      0,                0.24348,                0.81751,                0.98468,                0.96793,                0.99015,                0.87909,                0.97842,                0.96178,                0.98354,                0.93198,                0.55351,                0.30945,                      0,                0.31233,                0.92839,             0.00065796,             0.00065796,             0.00065796
